Order Date,total_sales,total_profit,sales_lag_1,profit_lag_1,sales_lag_2,profit_lag_2,sales_lag_3,profit_lag_3,sales_rolling_3,profit_rolling_3
2016-01-01,18542.490999999998,2824.8233,74919.5212,8016.965899999999,75972.5635,12474.7884,31404.9235,2817.366,60765.66939999999,7769.706766666665
2016-02-01,22978.815000000002,5004.5795,18542.490999999998,2824.8233,74919.5212,8016.965899999999,75972.5635,12474.7884,56478.1919,7772.192533333331
2016-03-01,51715.875,3611.968,22978.815000000002,5004.5795,18542.490999999998,2824.8233,74919.5212,8016.965899999999,38813.609066666664,5282.1228999999985
2016-04-01,38750.039,2977.8149,51715.875,3611.968,22978.815000000002,5004.5795,18542.490999999998,2824.8233,31079.060333333327,3813.7902666666655
2016-05-01,56987.728,8662.1464,38750.039,2977.8149,51715.875,3611.968,22978.815000000002,5004.5795,37814.90966666667,3864.7874666666653
2016-06-01,40344.534,4750.3781,56987.728,8662.1464,38750.039,2977.8149,51715.875,3611.968,49151.214,5083.976433333332
2016-07-01,39261.963,4432.8778999999995,40344.534,4750.3781,56987.728,8662.1464,38750.039,2977.8149,45360.76699999999,5463.446466666665
2016-08-01,31115.3743,2062.0693,39261.963,4432.8778999999995,40344.534,4750.3781,56987.728,8662.1464,45531.40833333333,5948.467466666665
2016-09-01,73410.0249,9328.6576,31115.3743,2062.0693,39261.963,4432.8778999999995,40344.534,4750.3781,36907.290433333335,3748.4417666666654
2016-10-01,59687.745,16243.1425,73410.0249,9328.6576,31115.3743,2062.0693,39261.963,4432.8778999999995,47929.12073333332,5274.5349333333315
2016-11-01,79411.9658,4011.4075000000003,59687.745,16243.1425,73410.0249,9328.6576,31115.3743,2062.0693,54737.714733333334,9211.289799999999
2016-12-01,96999.043,17885.3093,79411.9658,4011.4075000000003,59687.745,16243.1425,73410.0249,9328.6576,70836.57856666668,9861.0692
2017-01-01,43971.374,7140.4391,96999.043,17885.3093,79411.9658,4011.4075000000003,59687.745,16243.1425,78699.5846,12713.286433333333
2017-02-01,20301.1334,1613.872,43971.374,7140.4391,96999.043,17885.3093,79411.9658,4011.4075000000003,73460.79426666668,9679.051966666664
2017-03-01,58872.3528,14751.8915,20301.1334,1613.872,43971.374,7140.4391,96999.043,17885.3093,53757.18346666667,8879.873466666666
2017-04-01,36521.5361,933.2900000000001,58872.3528,14751.8915,20301.1334,1613.872,43971.374,7140.4391,41048.286733333334,7835.400866666666
2017-05-01,44261.1102,6342.5828,36521.5361,933.2900000000001,58872.3528,14751.8915,20301.1334,1613.872,38565.007433333325,5766.3511666666645
2017-06-01,52981.7257,8223.3357,44261.1102,6342.5828,36521.5361,933.2900000000001,58872.3528,14751.8915,46551.66636666667,7342.588099999998
2017-07-01,45264.416,6952.6212,52981.7257,8223.3357,44261.1102,6342.5828,36521.5361,933.2900000000001,44588.124,5166.402833333332
2017-08-01,63120.888,9040.9557,45264.416,6952.6212,52981.7257,8223.3357,44261.1102,6342.5828,47502.4173,7172.846566666664
2017-09-01,87866.652,10991.5556,63120.888,9040.9557,45264.416,6952.6212,52981.7257,8223.3357,53789.009900000005,8072.304199999999
2017-10-01,77776.9232,9275.2755,87866.652,10991.5556,63120.888,9040.9557,45264.416,6952.6212,65417.318666666666,8995.044166666665
2017-11-01,118447.825,9690.1037,77776.9232,9275.2755,87866.652,10991.5556,63120.888,9040.9557,76254.82106666667,9769.262266666665
2017-12-01,83829.3188,8483.346800000001,118447.825,9690.1037,77776.9232,9275.2755,87866.652,10991.5556,94697.1334,9985.644933333331
